arena,latitude,longitude
Smith University Center,34.1885949,-79.6539216
Gentry Center Complex,36.1690985,-86.8291415
Jean Yawkey Center,42.3403687,-71.1016439
Regan Gymnasium,42.361052,-71.0640858
Kline Center,40.2031665,-77.2021724
Hutton Arena,44.9670069,-93.166557
McAlister Field House,32.7985855,-79.9623637
Amsler Campus Center Gym,42.691554,-73.1033372
Frank Erwin Center,30.2769698,-97.7321651
Crenshaw Gymnasium,37.7629854,-77.4786146
Trask Coliseum,34.2249981,-77.8783141
Cassell Coliseum,37.2226899,-80.4190748
Murphy Gymnasium,41.4830967,-81.7066379
Quandt Fieldhouse,44.528965,-89.5703145
Barco-Stevens Hall,37.5625916,-77.4514696
Nat Holman Gymnasium,40.8200471,-73.9492724
Athletics-Recreation Center,41.4642298,-87.0483582
Max Ziel Gymnasium,43.4462942,-76.535533
Cave Arena - Johnny Mize Athletic Center,34.5609002,-83.5445784
W.S. Tippin Gymnasium,41.2078434,-79.3805823
Merillat Center,41.897677,-84.0641256
Moloney Arena,38.6456624,-90.5047854
Donald N. Dedmon Center,37.138475,-80.5415574
Stephen Feldman Arena,41.4007198,-73.4449401
Lamade Gymnasium,41.2441845,-76.9999047
The Hill Center,40.690854,-73.969712
Saint Mary's Fieldhouse,44.0447762,-91.6959211
Wells Fargo Arena,33.4245048,-111.9310057
Sam Vadalabene Center,38.7958638,-90.0001457
West Gymnasium,44.4629024,-93.1568681
William M. Anderson Center,38.3073145,-77.4785753
BB&T Arena,39.0319881,-84.4592753
Arnaud Marts Sports Center,41.2423283,-75.8905257
Pizzitola Sports Center,41.8316983,-71.3980885
Wheeler Sports Center/Miller Gym,45.305395,-122.966237
Decker Gymnasium,41.8069803,-77.0698186
Brubaker Auditorium,40.1582572,-76.9894963
The Wheeler Center,35.2608199,-81.0393941
Adrian Tinsley Center,41.9888416,-70.9615529
Morrell Gymnasium,43.9086708,-69.9601658
Eastern University Gymnasium,40.0516866,-75.3707195
Value City Arena,40.00766,-83.0250631
Dunkin' Donuts Center,41.8236281,-71.4179556
Lahue Center,42.2720172,-71.0107326
Carver PE Center,41.5066327,-90.550847
E.W. Bennett Sports Center,43.6278146,-84.2741314
Rice Auditorium,42.2426999,-97.0145104
Harry M. Statham Sports Center,38.6084161,-89.8144344
Jadwin Gymnasium,40.3434557,-74.6486685
John W. Stewart Center for Student Activities,42.8911782,-75.6412775
Reid Arena,38.846594,-104.824394
Calihan Hall,42.4143679,-83.1360608
Esby Gym,39.7106054,-75.1185985
Mertz Mortorelli Gymnasium,46.717658,-92.0878849
Yoder Arena,38.4726203,-78.8773972
Whitworth Fieldhouse,47.7548728,-117.4178623
Island Federal Credit Union Arena,40.9174122,-73.12595
Lawrence Joel Veterans Memorial Coliseum,36.1277077,-80.2574934
Gillmor Center,41.119541,-83.1849893
Pioneer Arena,36.1721925,-82.7612522
Vagge Gymnasium,42.7380942,-71.4523567
Wild Athletic Center,44.901342,-93.739708
Ornelas Gymnasium,32.5569179,-94.3764522
Hammermill Center,42.1283957,-80.0861959
Speidel Gymnasium,42.0965327,-76.815607
MacDonald Gymnasium,42.5559432,-70.8877319
Tysinger Gymnasium,34.7282212,-82.7603351
Lewis and Clark College,45.4517422,-122.6688633
Ocean Bank Convocation Center,25.7569257,-80.3795409
Chiles Center,45.5750973,-122.7285261
Tripp Athletic Center,41.6238628,-71.0065889
Bresnan Arena In Taylor Center,44.1456562,-93.9956514
Daskalakis Athletic Center,39.9563762,-75.1907406
Harold Alfond Forum,43.4532443,-70.38998
Student Center Gymnasium,42.2379538,-71.116521
Maggs Center,38.345073,-75.6046968
UIC Pavilion,41.8748558,-87.6561411
Insalaco Arena,41.4334254,-75.6372362
Finnegan Fieldhouse,40.3775227,-80.6210706
"Bo Ryan Court, Williams Fieldhouse",42.7316948,-90.4882129
Millett Hall,39.5167527,-84.7345863
Fugate Gymnasium,37.673508,-97.377744
Staake Gymnasium,42.2993708,-71.2659951
Heiges Field House,40.0628918,-77.5240644
Mullins Center,42.389382,-72.5334464
Sharp Gymnasium,29.6949025,-95.5167353
Wildcat Center,41.7892043,-71.3913429
Adams Center/Dahlberg Arena,46.8635552,-113.983347
Student Center Complex,36.585376,-82.15938
Paul Porter Arena,35.2465436,-81.6695574
Athletics and Wellness Center,41.7163857,-81.2513355
McDonnell Center,38.9341327,-79.8438547
Edmunds Center,29.0395387,-81.3018584
Fifth Third Arena,39.1311671,-84.5142013
Kohl Center,43.069396,-89.39672
Goodman Gym,35.6913701,-80.4824479
Mount Ida College Athletic Center,42.294262,-71.193448
Kornegay Arena,35.2062336,-78.0713442
Currier Gym,34.0587479,-117.2080915
Chandler Gymnasium,42.7099567,-73.2028219
Horsburgh Gymnasium (Veale Center),41.5008908,-81.6066313
"James R. Wilkins, Jr. Athletics & Events Center",39.1640527,-78.1536932
Drake Knapp Center,41.6046804,-93.6521616
Doghouse,40.76438,-73.916444
D.L. Ligon Coliseum,33.8718226,-98.5196184
First National Bank Arena,35.8453929,-90.6703325
Muldoon Fitness Center,42.7380942,-71.4523567
UCCU Center,40.2786424,-111.7170346
Mitchell Center,30.6922565,-88.1796785
Eleazer Arena,34.2861075,-81.6219227
Sawyer Center,35.5119328,-97.6259289
David S. Mack Sports and Exhibition Complex,40.7197194,-73.5968515
Van Male Fieldhouse,43.004839,-88.2283935
Carver-Hawkeye Arena,41.6638687,-91.5546019
Tucker Coliseum,35.2951563,-93.1324092
Indiana Farmers Coliseum,39.8276805,-86.1350072
McCarthey Athletic Center,47.6653837,-117.3991768
F.G. Clark Activity Center,30.5219199,-91.1855935
Bill Battle Coliseum,33.5161592,-86.8509922
Cowan Spectrum,46.7263518,-117.0173906
Chase Arena at Reich Family Pavilion,41.8016631,-72.7172811
Reed Green Coliseum,31.3304184,-89.3374354
Rutgers Camden Gymnasium,39.9499768,-75.1222821
Williamson Sports & Recreation Center,43.0930492,-73.78694
Harrington Center,39.0951693,-84.6404192
Roberts Pavilion,34.100115,-117.7064554
The Event Center,37.3352281,-121.8800817
Burns,37.1014159,-113.567084
H. Bernard Wehrle Arena,38.3328289,-81.6165232
O'Hara Hall,40.8119641,-73.7598314
Metheny,40.6196957,-80.3963877
Petersen Events Center,40.4438281,-79.9622834
Cowles Fieldhouse,41.366056,-93.566006
Littlejohn Coliseum,34.6804137,-82.8464242
Bruce Hall/Johnson Gymnasium,35.1180562,-90.0344386
Kendrigan Gymnasium,46.5784738,-90.8756367
Marisa Field House,39.8991472,-80.1865976
Bartow Arena,33.5022194,-86.8092712
Lloyd Noble Center,35.1873657,-97.4442974
Everett Gymnasium,36.0186234,-77.7742185
Newman Gymnasium,44.8253264,-68.7953825
Maranatha Gymnasium,43.1949527,-88.738325
Coleman Coliseum,33.2029888,-87.5397911
Rec Center,40.9514177,-74.1957808
Stratis Arena,40.8967153,-74.0323991
Gill Coliseum,44.5612886,-123.28071
Gleason Center,37.5182754,-122.2843243
King Arena,41.8714154,-88.0967889
Keystone Hall,40.5091463,-75.7788407
Saint Joseph Hall,40.784146,-74.507079
Patty Center,64.8565018,-147.8312521
Roy L. Patrick Gymnasium,44.4699564,-73.1946516
Henderson Center,38.4243695,-82.4250555
Geissler Gymnasium,41.7218811,-72.2190193
America First Event Center,37.6755309,-113.0728667
Voller Athletic Center,43.1261286,-77.7977372
Nichols Athletics Center,42.0465278,-71.9295592
Warren G. Grimes Center,40.0996782,-83.7600433
Student Activity Center,33.1085896,-86.8665569
Pratt Recreation Center,40.816716,-73.5912497
Millis Center,35.9631832,-80.0108878
Brayboy Gymnasium,35.2433189,-80.8527215
Dee Glen Smith Spectrum,41.7476092,-111.8119572
Athletic Center,42.3426834,-71.2431378
Kevin I. Sullivan Campus Center,42.9291399,-78.856474
Lumpkin Center,32.5044661,-84.9402125
Emery Gymnasium,35.7876962,-78.6188766
Pan American Center,32.2836754,-106.7421707
Auraria Events Center,39.7448696,-105.0039674
Rutgers Athletic Center,40.52525,-74.441353
Alex Nemzek Hall,46.8673374,-96.7521447
Moby Arena,40.5756843,-105.0932246
Kezar Pavilion,37.7675483,-122.4539336
Lysaker Gym,47.7939,-96.61037
XL Center,41.768399,-72.6769853
William R. Johnson Coliseum,31.6222968,-94.6408378
Jon M. Huntsman Center,40.7620609,-111.8388029
Robert A. Kidera Gym,43.1013041,-77.5188768
Holmes Convocation Center,36.2106995,-81.6758447
Hill Field House,39.3424106,-76.5852145
American Bank Center,27.808348,-97.393797
Louis Alexander Palestra,43.1305531,-77.6260033
Claremore Expo Center,36.3138088,-95.629202
John Paul Jones Arena,38.0459472,-78.5067369
James W. Moore Fieldhouse,41.332566,-72.947462
The Pavilion at Ole Miss,34.3628353,-89.536016
The Wolves' Den,38.3412859,-122.6723099
Mitchell Hall,43.8146143,-91.2273048
West Field House,36.9914111,-122.0640935
Dorough Fieldhouse,33.8734804,-84.3335803
Taco Bell Arena,43.6035738,-116.198881
The Murray Center,41.8427295,-71.4668551
Tarble Arena,42.6213907,-87.8223193
Jack Stephens Center,34.7283805,-92.3404998
Alaska Airlines Center,61.1887817,-149.8151705
SEFCU Arena,42.6820352,-73.8283427
Ban Johnson Arena,39.4145456,-81.4491067
Reilly Center,42.0795846,-78.4849211
PC Arena-Field House,43.0256982,-83.5989664
HPER Gym Complex,31.5710738,-84.140176
Tom Gola Arena,40.0399077,-75.1565641
Hawk Center,41.739846,-74.0864556
Rodgers Recreation Center,41.4736848,-71.3018333
First United Bank Center,34.9810117,-101.9040547
AUM Athletics Complex,32.3697457,-86.1766584
Jim Wink Arena,43.6791655,-85.4851195
Billera Hall,40.5355338,-75.3825704
Coliseo Mangual,18.2129239,-67.1439242
Physical Activities Center,37.9617315,-87.6741754
Rike Center,40.1301294,-82.9370677
FAU Arena,26.3723396,-80.1093647
Hollinger Field House,39.9516309,-75.6021271
Arena at Harbor Yard,41.1732434,-73.1870019
Kimbrell Arena,32.429984,-99.7504307
Reese Court,47.4913724,-117.5893925
UNF Arena,30.2734675,-81.5079992
William H. Pitt Center,41.2196387,-73.2446525
Athletics Building,40.115494,-75.110288
Capital One Arena,38.8981251,-77.0208804
Schoenecker Arena,44.9434698,-93.1903622
Pete Mathews Coliseum,33.8241586,-85.7735038
The Coliseum,33.5759757,-85.1038312
Max Stern Athletic Center,40.8502569,-73.9287866
Clune Arena,39.0136037,-104.8837735
Bill Greehey Arena,29.451711,-98.5640921
KeyBank Center,42.875004,-78.876521
Alumni Healthful Living Center,42.1143655,-72.5155387
Hart Recreation Center,42.234829,-71.8062758
JMW Recreation and Athletics Center,42.6129081,-77.0918101
RAC Arena,39.2529142,-76.7125476
H.O. Clemmons Arena,34.2460059,-92.023893
Lawrence Joel Coliseum,36.1277077,-80.2574934
Sherwood Center,46.0711676,-118.3310217
W.T. Watson Athletic Cent,33.2925023,-93.2332125
The Complex,30.8459354,-83.2942444
Dan & Ada Rice Center,41.7804977,-88.0961273
Recreation Hall,40.8111622,-73.6011477
Ragan-Brown Field House,36.0896182,-79.8894318
McKenna Center,40.325623,-79.544719
Bloomer Sullivan Arena,34.0067333,-96.3736678
Hershey Hall,41.6308497,-85.0122024
SECU Arena,39.3873866,-76.6171503
Kimmel Arena,35.6162921,-82.5673127
Quinn Coliseum,45.3182217,-118.0922341
Donald W. Reynolds Center,36.1489954,-95.9421255
Bast Center,37.2968892,-80.0564504
Hyland Arena,38.7888139,-90.5040039
HEAL Complex,33.4708986,-81.9969763
James Center Arena,32.4309714,-85.7103239
Savannah Civic Center,32.0767215,-81.0969501
Harrington Auditorium,42.2744595,-71.8096745
Pershing,40.1848549,-92.5818821
Grant Center,36.5968038,-79.4365275
McLendon-McDougald Arena,35.975878,-78.8976153
Dorman Memorial Gym,33.401488,-84.595711
Sadoff Gym,43.7763663,-88.4199817
Sherman Gymnasium,39.7298657,-90.2476515
The Loch,33.5948497,-84.3281872
Kaplan Arena,37.2734888,-76.719668
The Walter Pyramid,33.7873979,-118.1143892
Shirk Center,40.4936376,-88.9896695
A.G. Spanos Center,37.9767312,-121.3151352
Ursprung Gymnasium,41.3719903,-81.847562
Lehman College APEX,40.874746,-73.892992
Carrier Dome,43.0362269,-76.1363161
Drubner Center,41.5477901,-73.065008
Mackey Arena,40.4332234,-86.9157668
Gerald Ratner Athletics Center,41.794161,-87.6019229
Coussoulis Arena,34.1827739,-117.3196488
Smith Center,35.899446,-79.0439761
Viejas Arena,32.7738062,-117.0746039
Silloway Gymnasium,41.5566104,-72.6569041
Chicoine Events Center,42.8198689,-103.0015725
Randolph Athletic and Dance Center,37.436964,-79.172197
Conlan Center,37.9797624,-122.5165005
Jenny Craig Pavilion,32.7744376,-117.1837806
Hayes Gymnasium,35.0695126,-82.3730502
Seiberling Gymnasium,41.114279,-83.166332
WVU Coliseum,39.6493379,-79.9815603
Humphrey Coliseum,33.4614159,-88.7940254
Rick Case Arena,26.0779662,-80.243891
Show Me Center,37.3199939,-89.5275416
Mason-Halpin Field House,39.032297,-94.5706216
Tudor Fieldhouse,29.7151,-95.40389
Timken Center,35.0556533,-81.6498909
Goldfarb Gymnasium,39.3299013,-76.6205177
Warner Center,37.7877429,-79.4458638
Allen Fieldhouse,38.954145,-95.2527792
Bridges Gym,43.177062,-71.8226523
Knights Hall,38.2215155,-85.7051918
Paul Wright Gymnasium,38.550832,-106.9207169
Firestone Fieldhouse,34.0385192,-118.7096946
William J. Nicks Building,30.0922526,-95.9930554
Municipal Auditorium,39.09787,-94.586341
Gross Memorial Coliseum,38.8717824,-99.3484057
Knott Arena,39.6796739,-77.3461851
WU Field House,38.6497289,-90.3146579
Marriott Center,40.2540325,-111.6492991
Reed Arena,30.605851,-96.346293
Brougham Pavilion,47.6512279,-122.3603456
Recreation Complex,43.0377357,-88.0217099
Steele Hall,42.4526365,-79.3410823
Charles Wolf Gymnasium,39.9467464,-76.7281509
Verizon Sports Arena,38.8634667,-77.0610223
Buzz Ridl Gymnasium,41.1177914,-80.3287268
Concordia Fieldhouse,30.4190038,-97.8381711
Scheels Center,46.9003492,-96.7987291
James Work Gymnasium,40.2983555,-75.1588291
ECAV Arena,42.7331344,-73.6676402
Spiro Sports Center,40.6149664,-74.095729
Mulva Family Fitness & Sports Center,44.4421287,-88.0684923
Verizon Wireless Arena at the Stuart C. Siegel Center,37.5529242,-77.4529507
Physical Education Building,44.8523702,-123.2413673
Physical Education Center,40.3081864,-75.9358907
"Robert ""Bobby"" Morgan Arena",39.9444091,-75.2065229
Eagles' Nest,35.627837,-97.4757725
Trojan Fieldhouse,36.1425072,-86.7532773
The Recreation & Athletic Center,39.7261433,-89.6185433
James A. Rhodes Arena,41.0758815,-81.5087431
Memorial Gymnasium,36.144597,-86.8071198
Corbin J. Robertson Center,30.6361396,-97.6632428
Beaver Community Center,40.3570506,-75.9722292
Strahan Coliseum,29.8885435,-97.9326233
John F. Savage Arena,41.6601653,-83.6097317
Ioro Gymnasium,42.671702,-74.498279
Coors Events Center,40.0048315,-105.2606052
Hagan Arena,39.9951228,-75.2343189
James Norris Center,46.49019,-84.3662
Wachs Arena,45.4510995,-98.4844923
Blake Arena,42.1046093,-72.5554201
Junell Center/Stephens Arena,31.4370339,-100.4579934
Bloomfield College Gymnasium,40.795523,-74.1930352
Jenkins Field House,28.0313288,-81.9449165
Lumsden Gymnasium,42.9648902,-78.7884384
Ferrell Center,31.5479481,-97.1058077
Oscar Williams Field House,36.592199,-101.6373772
Lundholm Gymnasium,43.1388127,-70.9375613
Winthrop Coliseum,34.9480739,-81.0149026
Cuddy Arena,34.9866535,-80.4438445
Stewart Center,43.5303701,-96.7391964
Danzi Athletic Center,40.776206,-73.0262037
Hanes Gymnasium,36.0694465,-79.799704
Gallogly Events Center,38.8927051,-104.7986498
MWSU Fieldhouse,39.7598942,-94.7845282
Bennett Center,42.586329,-70.8234307
A&M-C Field House,33.2455746,-95.9076588
Medgar Evers College Gym,40.666958,-73.9562928
Charles & Ruth Clemente Center,28.063344,-80.6225871
Scandlon Gym,41.2499673,-75.8792853
Finis Horne Arena,34.2002826,-82.165036
Western Hall,40.4714189,-90.6850172
Timken Gymnasium,40.8110501,-81.9336187
Matthews Arena,42.3412352,-71.084523
"Otter Sports Center,",36.6544526,-121.8081741
Alaska Airlines Arena,47.6520749,-122.3021385
Memorial Athletic & Convocation Center,41.1482226,-81.3439854
Bren Events Center,33.6494028,-117.8470597
Price Gymnasium,41.3125921,-81.145054
Levien Gym,40.757037,-73.972469
Golden Gym,32.7472508,-117.2501832
Braun Athletic Center,34.1338764,-118.1274628
Canale Arena,35.126784,-89.9830002
Frost Arena,44.318304,-96.7791265
John J. Moore Athletics & Fitness Center,40.7129415,-74.089189
Hennessy Center,41.0471959,-73.9505947
Bream Gymnasium,39.8362073,-77.2375078
The Nest,38.5619639,-121.4266147
Williams Center,42.8432977,-88.7453822
Haas Pavilion,37.8693878,-122.2623099
Reitz Arena,39.3467998,-76.6185933
The Colonial Life Arena,33.9945666,-81.036705
Costello Athletic Center,42.6553218,-71.3243687
Sun Dome,28.0589856,-82.406487
Worthington Arena,45.6633486,-111.0506591
University Arena,42.2833506,-85.6086875
Allen Arena,36.1037312,-86.7989168
McCown Gymnasium,44.0473997,-91.6432837
Woodward Center,42.1279111,-72.7883109
Chadwick Court,40.0378111,-86.9066552
Neil Carey Arena,41.6050591,-88.0821178
Rose Hill Gym,40.862211,-73.8837651
Croy Gymnasium,41.0542857,-83.6512889
Pope Physical Education Center,40.6932301,-73.9921652
Jake Nevin Field House,40.033689,-75.338198
Sexton Arena,45.5838905,-94.3927577
Waldron Athletic Center,43.5165758,-73.240183
Betty Engelstad Sioux Center,47.9275954,-97.0714417
Walsh Gymnasium,40.743011,-74.2471001
No Gymnasium,42.2409024,-71.8433777
Kovalchick Complex and Convention Center,40.6124254,-79.159922
Kirby Sports Center,40.7018683,-75.209704
Maxcy Hall,44.6606526,-74.9671579
Schneweiss Athletic Center,42.9320977,-75.8541481
Andrews Hall,44.1412397,-72.6608808
Pamplin Sports Center,45.4516164,-122.6703897
Kathleen and Tom Elam Center,36.3435398,-88.8680345
Allee Gymnasium,42.4762506,-96.3635775
WECU Court at Carver Gym,48.7342883,-122.4866109
Multipurpose Center,37.2397376,-77.4259626
W.L. Zorn Arena,44.7989096,-91.4985487
Charger Gymnasium,41.2968532,-72.9632487
Carter Center,37.4260914,-81.0055811
Wellness Center Arena,40.1087599,-74.2197336
Campus Center,40.0604897,-74.9863882
Torodome,33.8633706,-118.2552809
John Collier Arena,38.7192502,-85.4623681
Adler Arena,40.5410764,-78.4105926
Charles Koch Arena,37.7216934,-97.2974408
Nerney Field House,40.0553552,-75.3740633
Cal U Convocation Center,40.0631695,-79.8818559
Rockefeller Center,38.990005,-80.2196586
Mallory Gym,35.93008,-86.82465
Luther Field House,43.311063,-91.8062533
Fred DeLay Gymnasium,35.6773778,-88.8595906
Clive M. Beck Center,38.053147,-84.4936508
Worthen Arena,40.2070903,-85.4062109
Small Multi-Sport Center,41.9280414,-91.4251993
Physical Education Complex,39.3156591,-76.6568654
Henry Memorial Center,40.1724925,-80.2424482
Friel Court,46.7484698,-117.1736557
Campus Recreation Center,41.6510618,-71.2594597
McGuirk,43.585389,-84.812249
Campus Center Gym,43.0936618,-75.2714604
Gangelhoff Center,44.9480534,-93.1574687
Stubblefield Center,35.3807916,-94.3712592
Hermann Court,39.4407945,-83.8173027
Livingston Gymnasium,40.0734583,-82.5223309
Pam Evans Smith,39.9371631,-83.8138524
FedExForum,35.1382037,-90.0504738
Ellis Corbett Sports Center,36.0767483,-79.7690541
Cone Field House,44.9347342,-123.0290939
United Supermarkets Arena,33.581334,-101.886563
The SIU Arena,37.7083282,-89.2187116
William Exum HPER Center,38.1997662,-84.8600149
Spurlock Center,39.4780897,-86.0439217
Bearcat Arena,40.3506406,-94.8858476
Canavan Arena,40.7441537,-74.0256697
Foley Gymnasium,43.7595034,-71.6882543
College Park Center,32.7303774,-97.1080623
Maravich Assembly Center,30.4142761,-91.1846265
Olson Auditorium,47.1445568,-122.4458064
Flagler Gym,29.8912272,-81.3148844
Allstate Arena,42.005259,-87.88783
JQH Arena,37.202005,-93.28298
Klotsche Center,43.0803017,-87.8796044
Dunham Student Activities,38.6416359,-90.3151351
Steinke PE Center,27.5269463,-97.8801535
Greensboro Coliseum,36.058682,-79.826131
Wilson Gym,35.7298681,-77.9481678
Sid W. Richardson Gymnasium,32.7555038,-97.3315506
Nicholson Pavilion,47.0072051,-120.5380951
Buuck Fieldhouse,43.254296,-87.9166261
Juhan Gymnasium,35.20518,-85.9176605
The Thunderdome,34.4112195,-119.8452672
Robert S. Carey Center,40.2925924,-79.4037435
Leonard Center,44.9372509,-93.1676119
College Center,42.9018246,-78.8896568
Harwood Arena,40.6804968,-74.2374661
Hay Field House,38.9505571,-90.3468177
Connor Convocation Center,39.0210499,-84.5687111
Owings Mills Gymnasium,39.4069994,-76.8097066
Willett Hall,36.8385299,-76.3472707
Catherine Dixon Roland Arena,32.3504918,-86.2863163
nan,18.7756318,100.7730417
The Hangar Dome,43.7472177,-79.4738649
Kahl Center,41.5227497,-90.577956
Burkman Gymnasium,44.5892119,-75.1608814
Sorgenti Arena,40.082301,-75.220122
Merkert Gymnasium,42.0590153,-71.0806276
Taylor-Whitehead Gym,35.5097545,-97.9419379
Picknelly Arena,42.1422257,-72.6016769
Gilbert Arena,45.651448,-73.499792
Grant Gym,39.9607695,-82.9913649
Athletic Convocation & Wellness Center,29.4516902,-98.5640304
Pruitt Hall,34.6504357,-98.4331481
Marion Bowman Center,40.5198726,-85.6634546
Geiseman Gymnasium,41.89971,-87.809536
Voelkel Gymnasium,34.0989795,-117.7117707
Stanford Arena,37.4296225,-122.1606326
David Stopher Gymnasium,29.7922413,-90.8010571
Swartz Gymnasium,40.0281065,-75.3152341
Detrick Gymnasium,41.693255,-72.764167
Alumni Memorial Gym,35.8511146,-86.3700495
Auerbach Arena,50.52133,12.37729
Riesenberg Hall,40.8091766,-73.8011369
Jim and Shirley Wentworth Gymnasium,39.163227,-75.527717
Mustang Field House,37.7670558,-121.5443088
Schrader Gymnasium,41.976499,-88.192253
L.S. Epps Gym,33.7515658,-84.4112315
Weaner Community Center,41.2966243,-84.3583836
Carter Gymnasium,35.4105346,-78.7381444
Fuller Activities Center,44.9158173,-93.2847945
O.W. Houts Gymnasium,40.7973267,-76.8744803
S. Douglas Fleet Gymnasium,37.2403758,-78.4610298
Lasalle Center,38.5509669,-90.6334109
Charles Dana PE Center,30.3951428,-97.7351762
WU Athletics Complex,39.6267352,-75.6757184
Bowman Center,41.8724644,-87.6693562
Margaret Chase Smith Gym,44.7632241,-69.730525
Benjamin E. Mays,44.9504518,-93.1223968
Woltzen Gymnasium,43.8418672,-87.8848303
Corey Gymnasium,42.341887,-71.1629781
Sorrentino Gymnasium,40.331103,-76.514699
Cougar Fieldhouse,39.7930117,-85.7820523
