TeamID,TeamName,FirstD1Season,LastD1Season,ncaa_id
1101,Abilene Chr,2014,2018,2
1102,Air Force,1985,2018,721
1103,Akron,1985,2018,5
1104,Alabama,1985,2018,8
1105,Alabama A&M,2000,2018,6
1106,Alabama St,1985,2018,7
1107,Albany NY,2000,2018,14
1108,Alcorn St,1985,2018,17
1109,Alliant Intl,1985,1991,
1110,American Univ,1985,2018,23
1111,Appalachian St,1985,2018,27
1112,Arizona,1985,2018,29
1113,Arizona St,1985,2018,28
1114,Ark Little Rock,1985,2018,32
1115,Ark Pine Bluff,1999,2018,2678
1116,Arkansas,1985,2018,31
1117,Arkansas St,1985,2018,30
1118,Armstrong St,1987,1987,33
1119,Army,1985,2018,725
1120,Auburn,1985,2018,37
1121,Augusta,1985,1991,39
1122,Austin Peay,1985,2018,43
1123,Ball St,1985,2018,47
1124,Baylor,1985,2018,51
1125,Belmont,2000,2018,14927
1126,Bethune-Cookman,1985,2018,61
1127,Binghamton,2002,2018,62
1128,Birmingham So,2003,2006,28593
1129,Boise St,1985,2018,66
1130,Boston College,1985,2018,67
1131,Boston Univ,1985,2018,68
1132,Bowling Green,1985,2018,71
1133,Bradley,1985,2018,72
1134,Brooklyn,1985,1992,79
1135,Brown,1985,2018,80
1136,Bryant,2009,2018,81
1137,Bucknell,1985,2018,83
1138,Buffalo,1992,2018,86
1139,Butler,1985,2018,87
1140,BYU,1985,2018,77
1141,C Michigan,1985,2018,129
1142,Cal Poly SLO,1995,2018,90
1143,California,1985,2018,107
1144,Campbell,1985,2018,115
1145,Canisius,1985,2018,116
1146,Cent Arkansas,2007,2018,1004
1147,Centenary,1985,2011,125
1148,Central Conn,1987,2018,127
1149,Charleston So,1985,2018,48
1150,Charlotte,1985,2018,458
1151,Chattanooga,1985,2018,693
1152,Chicago St,1985,2018,136
1153,Cincinnati,1985,2018,140
1154,Citadel,1985,2018,141
1155,Clemson,1985,2018,147
1156,Cleveland St,1985,2018,148
1157,Coastal Car,1987,2018,149
1158,Col Charleston,1992,2018,1014
1159,Colgate,1985,2018,153
1160,Colorado,1985,2018,157
1161,Colorado St,1985,2018,156
1162,Columbia,1985,2018,158
1163,Connecticut,1985,2018,164
1164,Coppin St,1986,2018,165
1165,Cornell,1985,2018,167
1166,Creighton,1985,2018,169
1167,CS Bakersfield,2008,2018,94
1168,CS Fullerton,1985,2018,97
1169,CS Northridge,1991,2018,101
1170,CS Sacramento,1992,2018,102
1171,Dartmouth,1985,2018,172
1172,Davidson,1985,2018,173
1173,Dayton,1985,2018,175
1174,Delaware,1985,2018,180
1175,Delaware St,1985,2018,178
1176,Denver,1999,2018,183
1177,DePaul,1985,2018,176
1178,Detroit,1985,2018,184
1179,Drake,1985,2018,189
1180,Drexel,1985,2018,191
1181,Duke,1985,2018,193
1182,Duquesne,1985,2018,194
1183,E Illinois,1985,2018,201
1184,E Kentucky,1985,2018,202
1185,E Michigan,1985,2018,204
1186,E Washington,1985,2018,207
1187,East Carolina,1985,2018,196
1188,Edwardsville,2009,2018,660
1189,Elon,2000,2018,1068
1190,ETSU,1985,2018,198
1191,Evansville,1985,2018,219
1192,F Dickinson,1985,2018,222
1193,Fairfield,1985,2018,220
1194,FL Atlantic,1994,2018,229
1195,FL Gulf Coast,2008,2018,28755
1196,Florida,1985,2018,235
1197,Florida A&M,1985,2018,228
1198,Florida Intl,1988,2018,231
1199,Florida St,1985,2018,234
1200,Fordham,1985,2018,236
1201,Fresno St,1985,2018,96
1202,Furman,1985,2018,244
1203,G Washington,1985,2018,249
1204,Ga Southern,1985,2018,253
1205,Gardner Webb,2003,2018,1092
1206,George Mason,1985,2018,248
1207,Georgetown,1985,2018,251
1208,Georgia,1985,2018,257
1209,Georgia St,1985,2018,254
1210,Georgia Tech,1985,2018,255
1211,Gonzaga,1985,2018,260
1212,Grambling,1985,2018,261
1213,Grand Canyon,2014,2018,1104
1214,Hampton,1996,2018,270
1215,Hardin-Simmons,1985,1990,271
1216,Hartford,1985,2018,272
1217,Harvard,1985,2018,275
1218,Hawaii,1985,2018,277
1219,High Point,2000,2018,19651
1220,Hofstra,1985,2018,283
1221,Holy Cross,1985,2018,285
1222,Houston,1985,2018,288
1223,Houston Bap,1985,2018,287
1224,Howard,1985,2018,290
1225,Idaho,1985,2018,295
1226,Idaho St,1985,2018,294
1227,IL Chicago,1985,2018,302
1228,Illinois,1985,2018,301
1229,Illinois St,1985,2018,299
1230,Incarnate Word,2014,2018,2743
1231,Indiana,1985,2018,306
1232,Indiana St,1985,2018,305
1233,Iona,1985,2018,310
1234,Iowa,1985,2018,312
1235,Iowa St,1985,2018,311
1236,IPFW,2003,2018,308
1237,IUPUI,1999,2018,2699
1238,Jackson St,1985,2018,314
1239,Jacksonville,1985,2018,316
1240,Jacksonville St,1996,2018,315
1241,James Madison,1985,2018,317
1242,Kansas,1985,2018,328
1243,Kansas St,1985,2018,327
1244,Kennesaw,2006,2018,1157
1245,Kent,1985,2018,331
1246,Kentucky,1985,2018,334
1247,La Salle,1985,2018,340
1248,Lafayette,1985,2018,342
1249,Lamar,1985,2018,346
1250,Lehigh,1985,2018,352
1251,Liberty,1989,2018,355
1252,Lipscomb,2003,2018,28600
1253,Long Beach St,1985,2018,99
1254,Long Island,1985,2018,361
1255,Longwood,2005,2018,363
1256,Louisiana Tech,1985,2018,366
1257,Louisville,1985,2018,367
1258,Loy Marymount,1985,2018,370
1259,Loyola MD,1985,2018,369
1260,Loyola-Chicago,1985,2018,371
1261,LSU,1985,2018,365
1262,MA Lowell,2014,2018,368
1263,Maine,1985,2018,380
1264,Manhattan,1985,2018,381
1265,Marist,1985,2018,386
1266,Marquette,1985,2018,387
1267,Marshall,1985,2018,388
1268,Maryland,1985,2018,392
1269,Massachusetts,1985,2018,400
1270,McNeese St,1985,2018,402
1271,MD E Shore,1985,2018,393
1272,Memphis,1985,2018,404
1273,Mercer,1985,2018,406
1274,Miami FL,1986,2018,415
1275,Miami OH,1985,2018,414
1276,Michigan,1985,2018,418
1277,Michigan St,1985,2018,416
1278,Minnesota,1985,2018,428
1279,Mississippi,1985,2018,433
1280,Mississippi St,1985,2018,430
1281,Missouri,1985,2018,434
1282,Missouri KC,1990,2018,2707
1283,Missouri St,1985,2018,669
1284,Monmouth NJ,1985,2018,439
1285,Montana,1985,2018,441
1286,Montana St,1985,2018,440
1287,Morehead St,1985,2018,444
1288,Morgan St,1985,2018,446
1289,Morris Brown,2002,2003,391
1290,MS Valley St,1985,2018,432
1291,Mt St Mary's,1989,2018,450
1292,MTSU,1985,2018,419
1293,Murray St,1985,2018,454
1294,N Colorado,2005,2018,502
1295,N Dakota St,2006,2018,493
1296,N Illinois,1985,2018,503
1297,N Kentucky,2013,2018,505
1298,Navy,1985,2018,726
1299,NC A&T,1985,2018,488
1300,NC Central,2008,2018,489
1301,NC State,1985,2018,490
1302,NE Illinois,1991,1998,
1303,NE Omaha,2012,2018,464
1304,Nebraska,1985,2018,463
1305,Nevada,1985,2018,466
1306,New Hampshire,1985,2018,469
1307,New Mexico,1985,2018,473
1308,New Mexico St,1985,2018,472
1309,New Orleans,1985,2018,474
1310,Niagara,1985,2018,482
1311,Nicholls St,1985,2018,483
1312,NJIT,2007,2018,471
1313,Norfolk St,1998,2018,485
1314,North Carolina,1985,2018,457
1315,North Dakota,2009,2018,494
1316,North Florida,2006,2018,2711
1317,North Texas,1985,2018,497
1318,Northeastern,1985,2018,500
1319,Northern Arizona,1985,2018,501
1320,Northern Iowa,1985,2018,504
1321,Northwestern,1985,2018,509
1322,Northwestern LA,1985,2018,508
1323,Notre Dame,1985,2018,513
1324,Oakland,2000,2018,514
1325,Ohio,1985,2018,519
1326,Ohio St,1985,2018,518
1327,Okla City,1985,1985,
1328,Oklahoma,1985,2018,522
1329,Oklahoma St,1985,2018,521
1330,Old Dominion,1985,2018,523
1331,Oral Roberts,1985,2018,527
1332,Oregon,1985,2018,529
1333,Oregon St,1985,2018,528
1334,Pacific,1985,2018,534
1335,Penn,1985,2018,540
1336,Penn St,1985,2018,539
1337,Pepperdine,1985,2018,541
1338,Pittsburgh,1985,2018,545
1339,Portland,1985,2018,551
1340,Portland St,1999,2018,550
1341,Prairie View,1985,2018,553
1342,Presbyterian,2008,2018,1320
1343,Princeton,1985,2018,554
1344,Providence,1985,2018,556
1345,Purdue,1985,2018,559
1346,Quinnipiac,1999,2018,562
1347,Radford,1985,2018,563
1348,Rhode Island,1985,2018,572
1349,Rice,1985,2018,574
1350,Richmond,1985,2018,575
1351,Rider,1985,2018,576
1352,Robert Morris,1985,2018,579
1353,Rutgers,1985,2018,587
1354,S Carolina St,1985,2018,647
1355,S Dakota St,2006,2018,649
1356,S Illinois,1985,2018,659
1357,Sacred Heart,2000,2018,590
1358,Sam Houston St,1987,2018,624
1359,Samford,1985,2018,625
1360,San Diego,1985,2018,627
1361,San Diego St,1985,2018,626
1362,San Francisco,1986,2018,629
1363,San Jose St,1985,2018,630
1364,Santa Barbara,1985,2018,104
1365,Santa Clara,1985,2018,631
1366,Savannah St,2003,2018,632
1367,SC Upstate,2008,2018,10411
1368,SE Louisiana,1985,2018,655
1369,SE Missouri St,1992,2018,654
1370,Seattle,2009,2018,1356
1371,Seton Hall,1985,2018,635
1372,SF Austin,1987,2018,676
1373,Siena,1985,2018,639
1374,SMU,1985,2018,663
1375,South Alabama,1985,2018,646
1376,South Carolina,1985,2018,648
1377,South Dakota,2009,2018,650
1378,South Florida,1985,2018,651
1379,Southern Miss,1985,2018,664
1380,Southern Univ,1985,2018,665
1381,Southern Utah,1989,2018,667
1382,St Bonaventure,1985,2018,596
1383,St Francis NY,1985,2018,599
1384,St Francis PA,1985,2018,600
1385,St John's,1985,2018,603
1386,St Joseph's PA,1985,2018,606
1387,St Louis,1985,2018,609
1388,St Mary's CA,1985,2018,610
1389,St Peter's,1985,2018,617
1390,Stanford,1985,2018,674
1391,Stetson,1985,2018,678
1392,Stony Brook,2000,2018,683
1393,Syracuse,1985,2018,688
1394,TAM C. Christi,2003,2018,26172
1395,TCU,1985,2018,698
1396,Temple,1985,2018,690
1397,Tennessee,1985,2018,694
1398,Tennessee St,1985,2018,691
1399,Tennessee Tech,1985,2018,692
1400,Texas,1985,2018,703
1401,Texas A&M,1985,2018,697
1402,Texas St,1985,2018,670
1403,Texas Tech,1985,2018,700
1404,TN Martin,1993,2018,695
1405,Toledo,1985,2018,709
1406,Towson,1985,2018,711
1407,Troy,1994,2018,716
1408,Tulane,1985,2018,718
1409,Tulsa,1985,2018,719
1410,UTRGV,1985,2018,536
1411,TX Southern,1985,2018,699
1412,UAB,1985,2018,9
1413,UC Davis,2005,2018,108
1414,UC Irvine,1985,2018,109
1415,UC Riverside,2002,2018,111
1416,UCF,1985,2018,128
1417,UCLA,1985,2018,110
1418,ULL,1985,2018,671
1419,ULM,1985,2018,498
1420,UMBC,1987,2018,391
1421,UNC Asheville,1987,2018,456
1422,UNC Greensboro,1992,2018,459
1423,UNC Wilmington,1985,2018,460
1424,UNLV,1985,2018,465
1425,USC,1985,2018,657
1426,UT Arlington,1985,2018,702
1427,UT San Antonio,1985,2018,706
1428,Utah,1985,2018,732
1429,Utah St,1985,2018,731
1430,Utah Valley,2005,2018,30024
1431,UTEP,1985,2018,704
1432,Utica,1985,1987,733
1433,VA Commonwealth,1985,2018,740
1434,Valparaiso,1985,2018,735
1435,Vanderbilt,1985,2018,736
1436,Vermont,1985,2018,738
1437,Villanova,1985,2018,739
1438,Virginia,1985,2018,746
1439,Virginia Tech,1985,2018,742
1440,VMI,1985,2018,741
1441,W Carolina,1985,2018,769
1442,W Illinois,1985,2018,771
1443,WKU,1985,2018,772
1444,W Michigan,1985,2018,774
1445,W Salem St,2007,2010,791
1446,W Texas A&M,1985,1986,767
1447,Wagner,1985,2018,748
1448,Wake Forest,1985,2018,749
1449,Washington,1985,2018,756
1450,Washington St,1985,2018,754
1451,Weber St,1985,2018,758
1452,West Virginia,1985,2018,768
1453,WI Green Bay,1985,2018,794
1454,WI Milwaukee,1991,2018,797
1455,Wichita St,1985,2018,782
1456,William & Mary,1985,2018,786
1457,Winthrop,1987,2018,792
1458,Wisconsin,1985,2018,796
1459,Wofford,1996,2018,2915
1460,Wright St,1988,2018,810
1461,Wyoming,1985,2018,811
1462,Xavier,1985,2018,812
1463,Yale,1985,2018,813
1464,Youngstown St,1985,2018,817
